还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000100996800,201609010140720100,3037872851427200,LZMGX-08ZX2032,3,30000,5045833
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3853089340797202,,300000000101288302,12000000002644531,1,201609010088440031,,,0,5000,5000
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3853089340797202,,300000000101288302,12000000002644668,1,201609010181085068,,,0,43000,43000
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3853089340797202,,300000000101288302,12000000002644480,1,201609010173333180,,,0,1700,1700
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3853089340797202,,300000000101288302,12000000002644884,1,201609010173671084,,,0,3500,3500
本期回款总金额:60000,差额=-1
总还款金额:12569149
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000100945903,201609010232838003,3987937381568803,LZMGX-07ZX1048,4,24000,4039999
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3987937381568803,,300000000100945903,12000000001129800,4,201609010047098100,,,200000,2000,202000
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3987937381568803,,300000000100945903,12000000001129900,4,201609010047098100,,,10000,100,10100
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3987937381568803,,300000000100945903,12000000001130000,4,201609010047098100,,,40000,400,40400
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3987937381568803,,300000000100945903,12000000001130921,4,201609010410391021,,,435000,4350,439350
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3987937381568803,,300000000100945903,12000000001131021,4,201609010410391021,,,100000,1000,101000
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3987937381568803,,300000000100945903,12000000001131121,4,201609010410391021,,,110000,1100,111100
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3987937381568803,,300000000100945903,12000000001130322,4,201609010357707122,,,235000,2350,237350
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3987937381568803,,300000000100945903,12000000001130422,4,201609010357707122,,,510000,5100,515100
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3987937381568803,,300000000100945903,12000000001130522,4,201609010357707122,,,760000,7600,767600
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3987937381568803,,300000000100945903,12000000001130622,4,201609010357707122,,,600000,6000,606000
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3987937381568803,,300000000100945903,12000000001130722,4,201609010357707122,,,200000,2000,202000
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
